invoice_number,vendor_id,po_number,invoice_date,vat_amount,due_date,invoice_amount,outliers,currency,status,invoice_type,department
INV2024001059,2000093507,4538516658,02-11-2024,0,17-11-2024,128625,Normal,USD,Pending,Capital Expenditure,Healthcare
P001013-2024,2000033106,4514498117,17-08-2023,15610.8,01-09-2023,78054,Normal,GBP,Cancelled,Tooling,R&D
2024-ERL-1049,1000023599,4592869300,08-11-2024,38216.6,08-12-2024,191083,Normal,GBP,Cancelled,Tooling,Technical Services
2024-ENH-1076,1000060552,4598236168,23-07-2024,49269.66,22-08-2024,259314,Normal,EUR,Pending,Professional Services,Smart Infrastructure
P001030-2024,1000014278,4598628262,08-12-2024,68014.6,08-03-2025,340073,Normal,GBP,Pending,Preventive Maintenance,Procurement
ULC/2023/1053,2000067442,4533105548,09-07-2024,0,08-08-2024,213413,Normal,USD,Cancelled,Software Licence,Automation
ARC/2024/1043,1000022345,4548566094,05-11-2024,44562.4,20-11-2024,222812,Normal,GBP,Paid,Annual Maintenance Contract,HR & Admin
2024/79278,1000082868,4517078676,13-05-2025,10408.4,27-06-2025,52042,Normal,GBP,Processing,Tooling,IT Operations
2024-BIF-1038,1000056979,4531112159,04-05-2025,88996.8,02-08-2025,444984,Normal,GBP,Paid,Tooling,Healthcare
HAY-2024-01027,1000085102,4513812138,30-12-2024,84982.6,29-01-2025,424913,Normal,GBP,Paid,Industrial Equipment,Healthcare
SI-0001046,2000025351,4517373203,24-04-2024,0,24-05-2024,53977,Normal,USD,Paid,Professional Services,Healthcare
2024/86475,1000023599,4592869300,18-11-2024,37263.6,03-12-2024,186318,Normal,GBP,In Review,Professional Services,Energy Management
2023-THG-1047,2000033981,4527715082,16-09-2023,0,31-10-2023,358405,Normal,USD,In Review,Tooling,IT Operations
INV2023001063,1000069628,4588890772,29-11-2024,66699.6,27-02-2025,333498,Normal,GBP,Paid,Software Licence,Digital Industries
PMS/2023/1032,1000021602,4555248603,11-09-2023,44762.29,26-09-2023,235591,Normal,EUR,Paid,Industrial Equipment,IT Operations
SI-0001036,1000096033,4531940315,23-11-2024,79791.4,22-01-2025,398957,Normal,GBP,Paid,Consultancy,Healthcare
2024-ARC-1056,1000022345,4548566094,12-09-2024,45810.8,27-09-2024,229054,Normal,GBP,Pending,Software Licence,Procurement
SI-0001041,1000099061,4575216623,29-09-2023,64184,28-11-2023,320920,Normal,GBP,Pending,Subscription,Procurement
2024/46113,1000022345,4548566094,02-11-2024,45284.2,17-11-2024,226421,Normal,GBP,Pending,Consultancy,Finance
REN/2024/1034,1000043125,4539496569,12-04-2023,69527.6,11-06-2023,347638,Normal,GBP,Hold,Annual Maintenance Contract,Automation
PFM00001034,1000014278,4582899551,22-08-2024,77526.2,20-11-2024,387631,Normal,GBP,In Review,Industrial Equipment,Quality Assurance
2023/70306,1000064520,No PO,04-07-2024,64256.8,03-08-2024,321284,Normal,GBP,In Review,Tooling,Finance
P001135-2024,1000035815,4575455497,13-08-2024,34372.6,10-12-2024,171863,Normal,GBP,Disputed,Utilities,Energy Management
CMT00001067,2000093507,4561573152,17-10-2024,0,01-11-2024,399135,Normal,USD,Paid,Tooling,R&D
ARC00001072,1000022345,4554936997,06-08-2024,11678.4,21-08-2024,58392,Normal,GBP,Processing,Professional Services,Finance
2023-MSL-1055,2000025351,4581317004,25-06-2024,0,25-07-2024,478104,Normal,USD,Overdue,Preventive Maintenance,Healthcare
THG/2023/1051,2000033981,4596722746,20-02-2023,0,04-06-2023,434111,Normal,USD,Cancelled,Professional Services,Digital Industries
ARC00001079,1000022345,4551818673,30-12-2024,56687.8,14-01-2025,283439,Normal,GBP,Hold,Tooling,Energy Management
P001082-2023,1000060552,4521752058,13-12-2024,11159.65,12-01-2025,58735,Normal,EUR,Paid,Utilities,Smart Infrastructure
INV2023001059,1000087316,4514099095,24-02-2023,38279.8,25-05-2023,191399,Normal,GBP,Paid,Industrial Equipment,Automation
PLF/2024/1139,1000035815,4511449694,17-01-2024,88616.4,17-03-2024,443082,Normal,GBP,Paid,Spares & Components,Quality Assurance
2024-PMS-1034,1000021602,4555248603,23-10-2023,43727.74,07-11-2023,230146,Normal,EUR,Cancelled,Utilities,Technical Services
2023/78400,1000022345,No PO,10-02-2024,14255.4,17-10-2024,71277,Normal,GBP,Overdue,Freight & Logistics,HR & Admin
MSL-2024-01063,2000025351,4583208610,24-04-2023,0,24-05-2023,103567,Normal,USD,Processing,Software Licence,Energy Management
PLF00001149,1000035815,No PO,21-07-2023,76027.2,19-09-2023,380136,Normal,GBP,Pending,Annual Maintenance Contract,IT Operations
ULC-2024-01065,2000067442,4533105548,22-06-2024,0,22-07-2024,214121,Normal,USD,Paid,Industrial Equipment,Finance
SSE/2024/1020,1000033983,4593547481,15-07-2024,98215.8,13-10-2024,491079,Normal,GBP,Paid,Utilities,Automation
2023-KON-1102,1000031867,4550758621,17-04-2023,60729.32,16-06-2023,319628,Normal,EUR,Overdue,Subscription,Procurement
2024/15988,1000060552,No PO,27-08-2023,14294.65,26-09-2023,75235,Normal,EUR,Processing,Capital Expenditure,HR & Admin
2024/78647,1000096466,4571981903,29-07-2023,90136.2,28-08-2023,450681,Normal,GBP,In Review,Annual Maintenance Contract,Automation
2023-N4L-1111,1000029627,4510676626,30-03-2024,59738.6,14-04-2024,298693,Normal,GBP,Pending,Professional Services,Digital Industries
2023/18742,1000053134,4518907521,14-11-2023,50712.8,14-12-2023,253564,Normal,GBP,Paid,Freight & Logistics,Finance
INV2023001072,1000087316,No PO,07-05-2025,38418.8,05-08-2025,192094,Normal,GBP,Paid,Spares & Components,Healthcare
2024-CHX-1065,2000043692,4541084002,17-07-2023,0,01-08-2023,387139,Normal,USD,Processing,Software Licence,Procurement
2023/40038,1000022345,4551818673,19-12-2024,57241.6,03-01-2025,286208,Normal,GBP,Cancelled,Capital Expenditure,Digital Industries
KAI-2024-01012,1000034878,4539555133,28-01-2024,83184.8,27-02-2024,415924,Normal,GBP,Disputed,Annual Maintenance Contract,IT Operations
2023-CHX-1070,2000043692,4593556042,16-02-2025,0,18-03-2025,69556,Normal,USD,Cancelled,Software Licence,Procurement
ENH/2024/1103,1000060552,4598236168,05-07-2024,50372.23,04-08-2024,265117,Normal,EUR,Pending,Tooling,Finance
IFM/2024/1078,1000069628,4529690012,30-12-2024,15352.6,30-03-2025,76763,Normal,GBP,Processing,Professional Services,IT Operations
MSL00001075,2000025351,4549547524,11-01-2024,0,10-02-2024,493065,Normal,USD,Disputed,Capital Expenditure,IT Operations
P001048-2024,1000031235,4556937333,15-06-2023,33418.4,30-06-2023,167092,Normal,GBP,In Review,Professional Services,Digital Industries
ECL-2023-01025,1000097776,4545603480,24-05-2023,97428,08-06-2023,487140,Normal,GBP,Paid,Utilities,Smart Infrastructure
2023-BIF-1053,1000056979,4531112159,04-05-2025,88851.4,02-08-2025,444257,Normal,GBP,Paid,Professional Services,Technical Services
PMC-2023-01015,2000033106,4570130331,21-08-2024,0,05-09-2024,129506,Normal,USD,Processing,Subscription,HR & Admin
BSS-2024-01012,1000074246,4549387711,21-07-2023,265366,20-08-2023,1326830,Normal,GBP,Part Paid,Subscription,Automation
INV2023001030,1000033983,4533024059,23-03-2024,48707.6,21-06-2024,243538,Normal,GBP,Part Paid,Professional Services,Quality Assurance
N4L-2024-01116,1000029627,4517053378,10-08-2023,348626.4,25-08-2023,1743132,Normal,GBP,Pending,Consultancy,Automation
SI-0001066,2000067442,4525336431,09-03-2024,0,08-04-2024,201895,Normal,USD,In Review,Preventive Maintenance,Digital Industries
TML-2024-01129,1000096466,4587910819,27-04-2023,12061.8,11-06-2023,60309,Normal,GBP,Overdue,Tooling,Finance
PTL/2023/1046,2000083288,4589710708,24-06-2023,0,24-07-2023,354212,Normal,USD,Hold,Industrial Equipment,Smart Infrastructure
P001038-2023,1000014278,4573775964,07-02-2023,47021.6,08-05-2023,235108,Normal,GBP,Disputed,Utilities,HR & Admin
MSL-2023-01089,2000025351,4535093469,03-01-2024,0,02-02-2024,428439,Normal,USD,Pending,Freight & Logistics,Technical Services
2024/49428,1000052510,4550570766,08-06-2024,92900.4,07-08-2024,464502,Normal,GBP,Pending,Tooling,Energy Management
TTR/2024/1019,1000056492,4546278455,03-12-2024,9633.8,02-01-2025,48169,Normal,GBP,Disputed,Tooling,Digital Industries
NGB-2023-01055,1000031235,4516893290,22-03-2024,74570.6,06-04-2024,372853,Normal,GBP,Paid,Consultancy,HR & Admin
BBH-2024-01042,1000068330,4588484525,14-07-2023,65788.4,29-07-2023,328942,Normal,GBP,Paid,Annual Maintenance Contract,HR & Admin
2024/69406,1000031867,4578806340,16-12-2023,45714,14-02-2024,240600,Normal,EUR,Paid,Annual Maintenance Contract,HR & Admin
PMS-2023-01043,1000021602,4583041304,29-12-2024,79810.45,13-01-2025,420055,Normal,EUR,Paid,Tooling,Digital Industries
PHX-2024-01043,1000078188,4544666429,29-03-2023,0,28-04-2023,163367,Normal,USD,Overdue,Professional Services,Automation
KON-2024-01128,1000031867,4541084002,02-11-2023,36555.81,01-01-2024,192399,Normal,EUR,Pending,Subscription,IT Operations
MOG-2024-01010,2000051280,4578042382,06-04-2024,0,05-06-2024,310262,Normal,USD,Part Paid,Software Licence,Digital Industries
GWI00001113,1000053134,4550533802,30-12-2024,85436.2,29-01-2025,427181,Normal,GBP,Cancelled,Spares & Components,IT Operations
2024-ERL-1064,1000023599,4564942244,13-02-2025,73732.2,28-02-2025,368661,Normal,GBP,Hold,Preventive Maintenance,IT Operations
2023-KAI-1018,1000034878,4539555133,09-01-2024,84384.4,23-02-2024,421922,Normal,GBP,Cancelled,Freight & Logistics,Smart Infrastructure
TML/2023/1130,1000096466,4566024494,04-03-2023,83620.8,18-04-2023,418104,Normal,GBP,Hold,Freight & Logistics,Procurement
YLU-2023-01062,1000048518,4586398574,19-11-2023,0,19-12-2023,246518,Normal,USD,Processing,Freight & Logistics,HR & Admin
INV2024001078,1000023599,4572721657,16-06-2024,76208.6,01-07-2024,381043,Normal,GBP,Disputed,Consultancy,R&D
SI-0001116,1000053134,4564128227,14-07-2023,78159,13-08-2023,390795,Normal,GBP,Cancelled,Tooling,Finance
RCS-2024-01044,1000099061,4554763235,29-03-2024,66501,28-05-2024,332505,Normal,GBP,Overdue,Annual Maintenance Contract,HR & Admin
DAL00001110,1000064520,4561720130,17-01-2024,11971.4,16-02-2024,59857,Normal,GBP,Paid,Utilities,IT Operations
KNX/2023/1058,1000011404,4533573026,02-08-2023,36621.8,31-10-2023,183109,Normal,GBP,Processing,Preventive Maintenance,Procurement
INV2023001068,1000048518,4552915831,25-08-2023,2650.8,24-09-2023,13254,Normal,GBP,Paid,Consultancy,Energy Management
P001045-2023,1000014278,4526960158,06-11-2024,58895.8,04-02-2025,294479,Normal,GBP,Hold,Industrial Equipment,Energy Management
KAI-2024-01025,1000034878,4539555133,30-01-2024,84679.6,15-03-2024,423398,Normal,GBP,Overdue,Spares & Components,Digital Industries
P001079-2024,1000023599,4523786846,09-04-2024,87247.2,24-04-2024,436236,Normal,GBP,On Hold,Software Licence,Digital Industries
INV2023001081,1000069628,4588890772,13-12-2024,66784.6,12-01-2025,333923,Normal,GBP,Pending,Capital Expenditure,Quality Assurance
SI-0001012,1000085764,4590443585,02-02-2023,21870.8,04-03-2023,109354,Normal,GBP,Paid,Tooling,Quality Assurance
ERL00001093,1000023599,4564942244,04-10-2023,72513.88,19-10-2023,381652,Normal,EUR,Pending,Spares & Components,Technical Services
SFT/2024/1021,1000024940,4575464991,07-12-2023,66463.8,21-01-2024,332319,Normal,GBP,In Review,Tooling,Finance
P001042-2024,1000062828,4574162696,01-04-2024,43636.8,31-05-2024,218184,Normal,GBP,Cancelled,Subscription,Smart Infrastructure
DAL/2023/1123,1000064520,4560736703,08-06-2024,96715.6,08-07-2024,483578,Normal,GBP,Overdue,Annual Maintenance Contract,R&D
CWG00001008,1000081143,4547565849,21-06-2024,48425.4,19-09-2024,242127,Normal,GBP,Cancelled,Subscription,Procurement
IUK00001084,1000087316,4566879498,24-04-2023,19074.2,23-07-2023,95371,Normal,GBP,Pending,Freight & Logistics,HR & Admin
PFM-2023-01050,1000014278,4598628262,27-11-2024,69443.6,25-02-2025,347218,Normal,GBP,Paid,Industrial Equipment,Digital Industries
INV2023001020,2000033106,4596260793,11-06-2023,0,26-06-2023,298496,Normal,USD,Part Paid,Utilities,Quality Assurance
ARC00001092,1000022345,4516925857,03-09-2024,50751.6,18-09-2024,253758,Normal,GBP,On Hold,Industrial Equipment,IT Operations
2023/14554,1000096466,4566024494,14-02-2023,82793.6,31-03-2023,413968,Normal,GBP,In Review,Consultancy,Finance
ENH-2024-01109,1000060552,4586103838,30-01-2024,95393.49,29-02-2024,502071,Normal,EUR,Overdue,Utilities,Energy Management
INV2024001026,1000085764,4590164644,09-04-2025,42231.8,08-06-2025,211159,Normal,GBP,Paid,Utilities,Quality Assurance
INV2024001044,1000096033,4544935319,25-05-2024,72412,24-07-2024,362060,Normal,GBP,Paid,Utilities,Energy Management
SI-0001002,1000082850,4575055325,28-12-2024,0,26-02-2025,478583,Normal,USD,Paid,Industrial Equipment,Smart Infrastructure
2023/97099,1000087316,4514099095,29-01-2023,37970,29-04-2023,189850,Normal,GBP,On Hold,Preventive Maintenance,IT Operations
ENH-2023-01123,1000060552,4598236168,02-07-2024,50270.58,01-08-2024,264582,Normal,EUR,Pending,Utilities,Procurement
SI-0001157,1000096466,4551352278,15-11-2024,0,30-12-2024,105870,Normal,USD,Disputed,Industrial Equipment,IT Operations
ANS-2023-01013,1000052510,4550570766,08-04-2024,92891.6,07-06-2024,464458,Normal,GBP,In Review,Utilities,Energy Management
SI-0001137,1000060552,4557312063,13-10-2024,191243.55,12-11-2024,1006545,Normal,EUR,Processing,Freight & Logistics,IT Operations
CHX/2023/1073,2000043692,4541084002,02-07-2023,0,17-07-2023,384112,Normal,USD,Pending,Industrial Equipment,Digital Industries
SI-0001150,1000035815,4510446073,31-10-2023,90531.4,30-12-2023,452657,Normal,GBP,Overdue,Annual Maintenance Contract,HR & Admin
2023-HYD-1010,1000066816,4552915831,09-02-2023,83506.4,11-03-2023,417532,Normal,GBP,Part Paid,Preventive Maintenance,Digital Industries
MSL00001096,2000025351,4535093469,04-01-2024,0,02-03-2024,421311,Normal,USD,Overdue,Spares & Components,Healthcare
NGB00001073,1000031235,4556937333,23-06-2023,33114.4,08-07-2023,165572,Normal,GBP,Paid,Capital Expenditure,Finance
2023/65878,1000066816,4561838112,14-12-2023,59905.8,13-01-2024,299529,Normal,GBP,Pending,Software Licence,Quality Assurance
CHX00001074,2000043692,4526708600,14-02-2023,0,01-03-2023,465187,Normal,USD,Paid,Capital Expenditure,Procurement
2023-SPE-1062,1000082868,4556037062,24-03-2024,30880.6,08-05-2024,154403,Normal,GBP,In Review,Freight & Logistics,Procurement
2024-ASC-1049,1000095845,4558751739,02-05-2024,0,01-06-2024,285083,Normal,USD,Paid,Capital Expenditure,Energy Management
2023-CHX-1079,2000043692,4526708600,15-04-2023,0,30-04-2023,467954,Normal,USD,Pending,Capital Expenditure,Procurement
NGB-2023-01078,1000031235,4516893290,08-05-2024,74561,23-05-2024,372805,Normal,GBP,Part Paid,Tooling,Finance
2023-DAL-1124,1000064520,4560736703,19-04-2024,94820.4,19-05-2024,474102,Normal,GBP,Pending,Professional Services,IT Operations
2024/10960,1000053134,4564128227,26-07-2023,78799.2,25-08-2023,393996,Normal,GBP,Overdue,Preventive Maintenance,HR & Admin
P001134-2024,1000064520,4596978045,29-05-2024,3330.4,28-06-2024,16652,Normal,GBP,Hold,Spares & Components,Digital Industries
MSL00001109,2000025351,4545550848,24-10-2023,0,23-11-2023,39868,Normal,USD,Disputed,Software Licence,IT Operations
SI-0001024,1000066816,4561838112,14-12-2023,59716.8,13-01-2024,298584,Normal,GBP,Part Paid,Software Licence,R&D
P001060-2023,1000014278,4582899551,07-02-2024,76456.4,30-09-2024,382282,Normal,GBP,Part Paid,Annual Maintenance Contract,Procurement
2024-ULC-1071,2000067442,4563802338,02-03-2023,0,01-04-2023,360126,Normal,USD,Paid,Professional Services,Technical Services
N4L-2024-01124,1000029627,4591226383,18-10-2024,17643.2,02-11-2024,88216,Normal,GBP,On Hold,Preventive Maintenance,Finance
BIF/2023/1064,1000056979,4567273771,29-08-2023,62203,27-11-2023,311015,Normal,GBP,Pending,Capital Expenditure,Finance
2024-SSE-1040,1000033983,4543536066,14-12-2024,12068.6,14-03-2025,60343,Normal,GBP,Pending,Spares & Components,Finance
KNX-2023-01068,1000011404,4533573026,20-09-2023,36096.4,19-12-2023,180482,Normal,GBP,Hold,Utilities,IT Operations
P001071-2023,2000093507,4597546157,24-12-2024,0,08-01-2025,17197,Normal,USD,Part Paid,Freight & Logistics,Automation
PMS-2024-01054,1000021602,4597449560,03-12-2023,58096.68,18-12-2023,305772,Normal,EUR,Overdue,Tooling,Quality Assurance
PLF00001160,1000035815,4543970581,17-09-2023,97614.6,16-11-2023,488073,Normal,GBP,Overdue,Subscription,HR & Admin
SI-0001050,1000062828,4574162696,11-06-2024,45089.4,10-08-2024,225447,Normal,GBP,In Review,Industrial Equipment,IT Operations
CIV-2023-01048,1000096033,4531940315,06-12-2024,81032.6,04-02-2025,405163,Normal,GBP,Part Paid,Tooling,R&D
KON00001130,1000031867,4594970749,03-05-2023,76880.46,02-07-2023,404634,Normal,EUR,Overdue,Software Licence,Smart Infrastructure
ENH00001143,1000060552,4590726615,11-10-2024,50000.97,10-11-2024,263163,Normal,EUR,Paid,Utilities,Healthcare
CIR00001036,2000040186,4592425970,13-04-2024,0,13-05-2024,423763,Normal,USD,Paid,Freight & Logistics,Procurement
CIV00001049,1000096033,4531940315,21-05-2025,80276.4,20-07-2025,401382,Normal,GBP,Overdue,Consultancy,Quality Assurance
INV2023001104,1000087316,4590141088,26-02-2023,82165.6,27-05-2023,410828,Normal,GBP,Paid,Industrial Equipment,R&D
2024-IFM-1087,1000069628,No PO,19-12-2024,16382.4,19-03-2025,81912,Normal,GBP,Processing,Capital Expenditure,HR & Admin
INV2024001084,2000067442,4563802338,07-03-2023,0,06-04-2023,366920,Normal,USD,Overdue,Spares & Components,Digital Industries
2024-SPE-1071,1000082868,4556037062,28-03-2024,30019,12-05-2024,150095,Normal,GBP,Hold,Subscription,Technical Services
INV2024001081,1000031235,4514924325,09-11-2023,28881.6,24-11-2023,144408,Normal,GBP,Part Paid,Spares & Components,Healthcare
BIF/2024/1079,1000056979,4572000995,31-05-2024,48098.4,29-08-2024,240492,Normal,GBP,Paid,Spares & Components,Digital Industries
PHX-2024-01049,1000078188,4578426503,24-10-2023,57439.85,23-11-2023,302315,Normal,EUR,Paid,Spares & Components,Smart Infrastructure
2024/83592,2000033981,4527715082,09-02-2023,0,17-10-2023,363017,Normal,USD,Overdue,Tooling,Healthcare
ERL/2023/1107,1000023599,4592869300,04-12-2024,35830.2,19-12-2024,179151,Normal,GBP,Part Paid,Spares & Components,R&D
INV2024001047,1000043125,4514113681,16-03-2023,18447.6,15-05-2023,92238,Normal,GBP,Processing,Spares & Components,HR & Admin
2023-HAY-1037,1000085102,4553410271,19-11-2024,64030.4,19-12-2024,320152,Normal,GBP,Pending,Annual Maintenance Contract,Finance
INV2024001049,1000033983,4590642050,07-11-2024,83928.6,05-02-2025,419643,Normal,GBP,Paid,Industrial Equipment,HR & Admin
P001059-2023,2000083288,4558151831,30-05-2024,0,29-06-2024,304446,Normal,USD,Hold,Preventive Maintenance,Healthcare
IUK00001105,1000087316,4592951734,17-02-2024,68901,17-05-2024,344505,Normal,GBP,Disputed,Capital Expenditure,Healthcare
N4L/2024/1125,1000029627,4591151405,28-06-2024,62027,13-07-2024,310135,Normal,GBP,Cancelled,Consultancy,Energy Management
SI-0001096,2000067442,4571755797,26-04-2025,0,26-05-2025,371723,Normal,USD,Part Paid,Capital Expenditure,Healthcare
SI-0001028,1000056492,4546278455,15-12-2024,8856.8,29-01-2025,44284,Normal,GBP,Paid,Software Licence,HR & Admin
SI-0001145,1000064520,4540357142,27-08-2024,192823.8,26-09-2024,964119,Normal,GBP,On Hold,Software Licence,HR & Admin
HAY00001048,1000085102,4520984012,24-09-2024,15551.6,24-10-2024,77758,Normal,GBP,Processing,Capital Expenditure,HR & Admin
2023/78770,1000033983,4533024059,24-05-2024,49902.6,22-08-2024,249513,Normal,GBP,Overdue,Subscription,Technical Services
DAL-2023-01148,1000064520,4597735770,05-01-2024,51996.54,04-02-2024,273666,Normal,EUR,Overdue,Consultancy,Procurement
YLU-2024-01075,1000048518,4586025947,01-04-2025,1348.4,01-05-2025,6742,Normal,GBP,Hold,Freight & Logistics,IT Operations
YLU/2023/1076,1000048518,4595078105,14-04-2023,65280,14-05-2023,326400,Normal,GBP,Processing,Annual Maintenance Contract,Healthcare
CIV00001057,1000096033,4591296243,27-08-2024,65786.2,26-09-2024,328931,Normal,GBP,Hold,Preventive Maintenance,Procurement
SI-0001123,1000053134,4569989388,12-04-2024,59866.4,12-05-2024,299332,Normal,GBP,In Review,Spares & Components,Smart Infrastructure
2024/40976,1000029627,4554863973,25-09-2024,6694.46,10-10-2024,35234,Normal,EUR,In Review,Annual Maintenance Contract,Smart Infrastructure
2024/23903,1000031235,4516893290,11-04-2024,74303,26-04-2024,371515,Normal,GBP,Pending,Tooling,Technical Services
INV2023001136,1000053134,4518907521,29-08-2023,48420.55,28-09-2023,254845,Normal,EUR,Part Paid,Professional Services,Quality Assurance
SI-0001049,2000040186,4584108985,10-10-2023,0,24-11-2023,167341,Normal,USD,Paid,Tooling,Automation
N4L-2024-01134,1000029627,4591151405,24-07-2024,59780.8,08-08-2024,298904,Normal,GBP,Processing,Industrial Equipment,Procurement
N4L-2023-01149,1000029627,4517053378,09-09-2023,89455.4,24-09-2023,447277,Normal,GBP,Overdue,Professional Services,HR & Admin
2024/48045,2000051280,4576658519,25-04-2023,0,24-06-2023,215140,Normal,USD,Processing,Industrial Equipment,HR & Admin
P001063-2024,1000033983,4533024059,12-03-2024,47080.29,10-06-2024,247791,Normal,EUR,Paid,Annual Maintenance Contract,Technical Services
CHX00001086,2000043692,4595771152,28-02-2024,81794.81,14-03-2024,430499,Normal,EUR,In Review,Consultancy,Automation
2023/35093,1000021602,4515101477,03-04-2025,4209.64,18-04-2025,22156,Normal,EUR,In Review,Professional Services,R&D
SI-0001093,1000031235,4580514951,22-10-2023,94763.2,06-11-2023,473816,Normal,GBP,Paid,Preventive Maintenance,Energy Management
2023/55496,1000095845,4586213372,06-08-2024,28246.2,05-09-2024,141231,Normal,GBP,Paid,Software Licence,Digital Industries
2023/94446,1000022345,4554936997,21-07-2024,11782.2,05-08-2024,58911,Normal,GBP,Hold,Capital Expenditure,HR & Admin
IUK-2024-01115,1000087316,4560612668,10-04-2023,35614.2,09-07-2023,178071,Normal,GBP,Paid,Software Licence,Procurement
2024-BIF-1091,1000056979,4548612579,08-12-2024,74570.8,08-03-2025,372854,Normal,GBP,Disputed,Professional Services,Healthcare
P001019-2024,1000036252,4592730859,06-12-2023,367467.8,05-01-2024,1837339,Normal,GBP,Paid,Tooling,Technical Services
SI-0001168,1000035815,4511449694,14-01-2024,90571.8,14-03-2024,452859,Normal,GBP,On Hold,Software Licence,Quality Assurance
SI-0001018,1000013105,4550549460,31-12-2024,75135.12,01-03-2025,395448,Normal,EUR,Paid,Tooling,Technical Services
P001151-2024,1000060552,4598236168,27-06-2024,49321.91,27-07-2024,259589,Normal,EUR,Hold,Spares & Components,Quality Assurance
KNX-2024-01074,1000011404,No PO,06-05-2023,9145.6,04-08-2023,45728,Normal,GBP,Paid,Subscription,IT Operations
P001010-2024,1000082850,4549779020,04-07-2024,64276.2,02-09-2024,321381,Normal,GBP,Hold,Subscription,Energy Management
INV2024001171,1000096466,4511424393,20-11-2023,79256,04-01-2024,396280,Normal,GBP,Part Paid,Freight & Logistics,Automation
SI-0001061,1000085102,4513812138,10-12-2024,85980.8,09-01-2025,429904,Normal,GBP,Disputed,Utilities,Quality Assurance
ENH-2024-01154,1000060552,4559305311,01-08-2023,48727.59,31-08-2023,256461,Normal,EUR,Part Paid,Industrial Equipment,Finance
INV2023001102,1000031235,4514924325,07-09-2023,29448.2,22-09-2023,147241,Normal,GBP,Pending,Capital Expenditure,R&D
INV2023001153,1000029627,4586438542,17-03-2024,10724,01-04-2024,53620,Normal,GBP,On Hold,Professional Services,Digital Industries
2024/25581,1000064520,4537774661,24-09-2024,69242.6,24-10-2024,346213,Normal,GBP,Part Paid,Utilities,R&D
P001103-2023,1000031235,No PO,14-10-2023,96402.2,29-10-2023,482011,Normal,GBP,Pending,Consultancy,Energy Management
PHX/2023/1058,1000078188,4544666429,15-05-2023,32671.64,14-06-2023,171956,Normal,EUR,Cancelled,Utilities,Smart Infrastructure
CWG00001011,1000081143,4556055382,25-09-2024,40584.6,24-12-2024,202923,Normal,GBP,Part Paid,Tooling,Technical Services
KON/2023/1143,1000031867,4573011095,20-11-2023,11100.94,19-01-2024,58426,Normal,EUR,On Hold,Capital Expenditure,Automation
2023-DAL-1172,1000064520,4596978045,09-06-2024,1875.8,09-07-2024,9379,Normal,GBP,Processing,Capital Expenditure,Healthcare
INV2023001074,2000083288,4550700353,13-06-2024,0,13-07-2024,479193,Normal,USD,Part Paid,Annual Maintenance Contract,Technical Services
KON00001153,1000031867,4578806340,21-07-2023,40315.34,19-09-2023,212186,Normal,EUR,Cancelled,Subscription,Finance
INV2023001078,2000093507,4522493209,25-10-2023,0,09-11-2023,142346,Normal,USD,Overdue,Utilities,Smart Infrastructure
CIV/2023/1070,1000096033,4595511809,25-07-2023,47042.8,23-09-2023,235214,Normal,GBP,Disputed,Tooling,IT Operations
HAY-2023-01073,1000085102,4595219410,04-11-2023,21613.4,04-12-2023,108067,Normal,GBP,Paid,Spares & Components,Finance
NGB/2024/1116,1000031235,4578426503,01-04-2024,11534.8,16-04-2024,57674,Normal,GBP,On Hold,Professional Services,R&D
2024-TTN-1039,1000085764,4590443585,22-03-2023,21208.6,21-05-2023,106043,Normal,GBP,Paid,Capital Expenditure,Healthcare
P001077-2023,1000048518,4586398574,12-10-2023,47074.4,11-11-2023,235372,Normal,GBP,Overdue,Utilities,Technical Services
2023-CIV-1077,1000096033,4531940315,18-03-2025,561461.6,17-05-2025,2807308,Review Required,GBP,Paid,Utilities,Automation
SI-0001182,1000035815,4510446073,13-10-2023,90658.8,12-12-2023,453294,Normal,GBP,Cancelled,Subscription,Digital Industries
CIR00001054,2000040186,4529847717,06-07-2024,0,20-08-2024,382463,Normal,USD,In Review,Tooling,Healthcare
2023-ASC-1065,1000095845,4585038888,25-03-2024,22275.4,24-04-2024,111377,Normal,GBP,Disputed,Software Licence,Energy Management
2023-MSL-1123,2000025351,4535093469,08-02-2024,0,09-03-2024,428123,Normal,USD,Hold,Tooling,Technical Services
PFM00001076,1000014278,4548521334,25-02-2023,92591.6,26-05-2023,462958,Normal,GBP,Hold,Capital Expenditure,Energy Management
SI-0001084,1000014278,4526960158,18-11-2024,58453.4,16-02-2025,292267,Normal,GBP,In Review,Professional Services,Automation
TML00001178,1000096466,4522573825,02-12-2024,16644.8,16-01-2025,83224,Normal,GBP,Hold,Industrial Equipment,Energy Management
2024/82719,1000013105,4550549460,28-12-2024,77491.69,27-01-2025,407851,Normal,EUR,Paid,Tooling,Digital Industries
2024/86858,1000011404,4586826109,28-02-2023,64684.6,29-05-2023,323423,Normal,GBP,In Review,Annual Maintenance Contract,Technical Services
2024/35077,2000040186,4549863203,03-12-2023,0,17-01-2024,440414,Normal,USD,Overdue,Preventive Maintenance,Healthcare
INV2024001082,2000083288,4589710708,21-06-2023,0,21-07-2023,346577,Normal,USD,Paid,Annual Maintenance Contract,R&D
