match_id,po_number,invoice_number,po_amount,invoice_amount,variance,Custom,currency,match_status,tolerance_flag
MTC-10286,4583041304,PMS-2023-01043,413049,420055,7006,Significant Variance,EUR,Exception,No
MTC-10287,4544666429,PHX-2024-01043,435666,163367,-272299,Within Tolerance,USD,Unmatched,No
MTC-10288,4541084002,KON-2024-01128,383281,192399,-190882,Within Tolerance,EUR,Unmatched,No
MTC-10289,4578042382,MOG-2024-01010,313439,310262,-3177,Within Tolerance,USD,Exception,No
MTC-10290,4550533802,GWI00001113,433813,427181,-6632,Within Tolerance,GBP,Partial Match,No
MTC-10291,4564942244,2024-ERL-1064,373996,368661,-5335,Within Tolerance,GBP,Partial Match,No
MTC-10292,4539555133,2023-KAI-1018,415576,421922,6346,Significant Variance,GBP,Exception,No
MTC-10293,4566024494,TML/2023/1130,412647,418104,5457,Significant Variance,GBP,Exception,No
MTC-10294,4586398574,YLU-2023-01062,240328,246518,6190,Significant Variance,USD,Pending Review,No
MTC-10295,4572721657,INV2024001078,374610,381043,6433,Significant Variance,GBP,Partial Match,No
MTC-10296,4564128227,SI-0001116,388603,390795,2192,Minor Variance,GBP,Partial Match,No
MTC-10297,4554763235,RCS-2024-01044,329938,332505,2567,Minor Variance,GBP,Exception,No
MTC-10298,4561720130,DAL00001110,8987,59857,50870,Major Variance,GBP,Unmatched,No
MTC-10299,4533573026,KNX/2023/1058,186502,183109,-3393,Within Tolerance,GBP,Exception,No
MTC-10300,4525147213,INV2024001038,95864,95924,60,Within Tolerance,GBP,3-Way Match,No
MTC-10301,4593078124,P001051-2023,447180,444224,-2956,Within Tolerance,GBP,Pending Review,No
MTC-10302,4552915831,INV2023001068,19252,13254,-5998,Within Tolerance,GBP,Exception,No
MTC-10303,4526960158,P001045-2023,297221,294479,-2742,Within Tolerance,GBP,Pending Review,No
MTC-10304,4539555133,KAI-2024-01025,415576,423398,7822,Significant Variance,GBP,Partial Match,No
MTC-10305,4523786846,P001079-2024,442866,436236,-6630,Within Tolerance,GBP,Partial Match,No
MTC-10306,4588890772,INV2023001081,333746,333923,177,Within Tolerance,GBP,Matched,No
MTC-10307,4590443585,SI-0001012,104432,109354,-213786,Within Tolerance,GBP,Unmatched,No
MTC-10308,4564942244,ERL00001093,373996,381652,7656,Significant Variance,EUR,Exception,No
MTC-10309,4575464991,SFT/2024/1021,336490,332319,-4171,Within Tolerance,GBP,Pending Review,No
MTC-10310,4574162696,P001042-2024,224254,218184,-6070,Within Tolerance,GBP,Partial Match,No
MTC-10311,4560736703,DAL/2023/1123,480802,483578,2776,Minor Variance,GBP,Exception,No
MTC-10312,4547565849,CWG00001008,238302,242127,3825,Minor Variance,GBP,Partial Match,No
MTC-10313,4566879498,IUK00001084,94583,95371,-189954,Within Tolerance,GBP,Unmatched,No
MTC-10314,4598628262,PFM-2023-01050,340146,347218,7072,Significant Variance,GBP,Partial Match,No
MTC-10315,4596260793,INV2023001020,55359,298496,243137,Major Variance,USD,Unmatched,No
MTC-10316,4516925857,ARC00001092,248772,253758,4986,Minor Variance,GBP,Partial Match,No
MTC-10317,4566024494,2023/14554,412647,413968,1321,Minor Variance,GBP,Partial Match,Yes
MTC-10318,4586103838,ENH-2024-01109,498093,502071,3978,Minor Variance,EUR,Pending Review,No
MTC-10319,4527566835,SI-0001066,447817,148199,-299618,Within Tolerance,GBP,Unmatched,No
MTC-10320,4590164644,INV2024001026,208950,211159,2209,Minor Variance,GBP,3-Way Match,No
MTC-10321,4544935319,INV2024001044,357023,362060,5037,Significant Variance,GBP,Partial Match,No
MTC-10322,4575055325,SI-0001002,474265,478583,4318,Minor Variance,USD,Partial Match,No
MTC-10323,4514099095,2023/97099,191976,189850,-2126,Within Tolerance,GBP,Pending Review,No
MTC-10324,4598236168,ENH-2023-01123,262596,264582,1986,Minor Variance,EUR,Partial Match,No
MTC-10325,4551352278,SI-0001157,103481,105870,2389,Minor Variance,USD,Partial Match,No
MTC-10326,4550570766,ANS-2023-01013,471831,464458,-7373,Within Tolerance,GBP,Exception,No
MTC-10327,4557312063,SI-0001137,199380,1006545,807165,Major Variance,EUR,Unmatched,No
MTC-10328,4541084002,CHX/2023/1073,383281,384112,831,Minor Variance,USD,Pending Review,Yes
MTC-10329,4510446073,SI-0001150,448300,452657,4357,Minor Variance,GBP,Partial Match,No
MTC-10330,4552915831,2023-HYD-1010,19252,417532,398280,Major Variance,GBP,Unmatched,No
MTC-10331,4535093469,MSL00001096,423858,421311,-2547,Within Tolerance,USD,Partial Match,No
MTC-10332,4556937333,NGB00001073,173560,165572,-7988,Within Tolerance,GBP,3-Way Match,No
MTC-10333,4561838112,2023/65878,300024,299529,-495,Within Tolerance,GBP,Tolerance Match,Yes
MTC-10334,4526708600,CHX00001074,464641,465187,546,Minor Variance,USD,Matched,Yes
MTC-10335,4556037062,2023-SPE-1062,147137,154403,7266,Significant Variance,GBP,Partial Match,No
MTC-10336,4558751739,2024-ASC-1049,282272,285083,2811,Minor Variance,USD,Pending Review,No
MTC-10337,4526708600,2023-CHX-1079,464641,467954,3313,Minor Variance,USD,Exception,No
MTC-10338,4516893290,NGB-2023-01078,366402,372805,6403,Significant Variance,GBP,Partial Match,No
MTC-10339,4560736703,2023-DAL-1124,480802,474102,-6700,Within Tolerance,GBP,Pending Review,No
MTC-10340,4564128227,2024/10960,388603,393996,5393,Significant Variance,GBP,Exception,No
MTC-10341,4596978045,P001134-2024,9772,16652,6880,Significant Variance,GBP,Partial Match,No
MTC-10342,4545550848,MSL00001109,45751,39868,-5883,Within Tolerance,USD,Partial Match,No
MTC-10343,4561838112,SI-0001024,300024,298584,-1440,Within Tolerance,GBP,Partial Match,Yes
MTC-10344,4582899551,P001060-2023,385822,382282,-3540,Within Tolerance,GBP,Partial Match,No
MTC-10345,4563802338,2024-ULC-1071,364016,360126,-3890,Within Tolerance,USD,2-Way Match,No
MTC-10346,4591226383,N4L-2024-01124,88523,88216,-307,Within Tolerance,GBP,Matched,Yes
MTC-10347,4567273771,BIF/2023/1064,312612,311015,-1597,Within Tolerance,GBP,Exception,No
MTC-10348,4543536066,2024-SSE-1040,55238,60343,5105,Significant Variance,GBP,Partial Match,No
MTC-10349,4533573026,KNX-2023-01068,186502,180482,-6020,Within Tolerance,GBP,Exception,No
MTC-10350,4597546157,P001071-2023,24050,17197,-6853,Within Tolerance,USD,Exception,No
MTC-10351,4555540487,SI-0001043,308926,301688,-7238,Within Tolerance,GBP,Exception,No
MTC-10352,4597449560,PMS-2024-01054,303987,305772,1785,Minor Variance,EUR,Exception,No
MTC-10353,4543970581,PLF00001160,487122,488073,951,Minor Variance,GBP,Pending Review,Yes
MTC-10354,4574162696,SI-0001050,224254,225447,1193,Minor Variance,GBP,Partial Match,Yes
MTC-10355,4531940315,CIV-2023-01048,406110,405163,-947,Within Tolerance,GBP,Pending Review,Yes
MTC-10356,4594970749,KON00001130,403275,404634,1359,Minor Variance,EUR,Partial Match,Yes
MTC-10357,4590726615,ENH00001143,255882,263163,-519045,Within Tolerance,EUR,Unmatched,No
MTC-10358,4543275191,INV2024001014,285543,289697,4154,Minor Variance,GBP,Partial Match,No
MTC-10359,4592425970,CIR00001036,429584,423763,-5821,Within Tolerance,USD,Exception,No
MTC-10360,4545603480,P001026-2024,491371,484996,-6375,Within Tolerance,GBP,Pending Review,No
MTC-10361,4531940315,CIV00001049,406110,401382,-4728,Within Tolerance,GBP,Pending Review,No
MTC-10362,4573224131,SI-0001073,397815,394368,-3447,Within Tolerance,GBP,Matched,No
MTC-10363,4590141088,INV2023001104,407955,410828,2873,Minor Variance,GBP,Pending Review,No
MTC-10364,4542527417,2024-IFM-1087,296408,81912,-214496,Within Tolerance,GBP,Exception,No
MTC-10365,4563802338,INV2024001084,364016,366920,2904,Minor Variance,USD,Partial Match,No
MTC-10366,4556037062,2024-SPE-1071,147137,150095,2958,Minor Variance,GBP,Exception,No
MTC-10367,4525336431,SI-0001092,202922,198034,-4888,Within Tolerance,USD,Pending Review,No
MTC-10368,4514924325,INV2024001081,145967,144408,-1559,Within Tolerance,GBP,Partial Match,No
MTC-10369,4572000995,BIF/2024/1079,243146,240492,-2654,Within Tolerance,GBP,Partial Match,No
MTC-10370,4578426503,PHX-2024-01049,62204,302315,240111,Major Variance,EUR,Exception,No
MTC-10371,4527715082,2024/83592,363080,363017,-63,Within Tolerance,USD,Matched,No
MTC-10372,4592869300,ERL/2023/1107,184015,179151,-4864,Within Tolerance,GBP,Pending Review,No
MTC-10373,4514113681,INV2024001047,87907,92238,4331,Minor Variance,GBP,Partial Match,No
MTC-10374,4553410271,2023-HAY-1037,312170,320152,7982,Significant Variance,GBP,Partial Match,No
MTC-10375,4590642050,INV2024001049,413353,419643,6290,Significant Variance,GBP,Exception,No
MTC-10376,4558151831,P001059-2023,309892,304446,-5446,Within Tolerance,USD,Exception,No
MTC-10377,4592951734,IUK00001105,338230,344505,6275,Significant Variance,GBP,Partial Match,No
MTC-10378,4591151405,N4L/2024/1125,306716,310135,3419,Minor Variance,GBP,Exception,No
MTC-10379,4571755797,SI-0001096,374763,371723,-3040,Within Tolerance,USD,Partial Match,No
MTC-10380,4546278455,SI-0001028,49752,44284,-5468,Within Tolerance,GBP,Partial Match,No
MTC-10381,4540357142,SI-0001145,325314,964119,638805,Major Variance,GBP,Exception,No
MTC-10382,4520984012,HAY00001048,75064,77758,2694,Minor Variance,GBP,Partial Match,No
MTC-10383,4533024059,2023/78770,242827,249513,6686,Significant Variance,GBP,Partial Match,No
MTC-10384,4597735770,DAL-2023-01148,273940,273666,-274,Within Tolerance,EUR,2-Way Match,Yes
MTC-10385,4586025947,YLU-2024-01075,9113,6742,-2371,Within Tolerance,GBP,Exception,No
MTC-10386,4595078105,YLU/2023/1076,332271,326400,-5871,Within Tolerance,GBP,Exception,No
MTC-10387,4591296243,CIV00001057,331584,328931,-2653,Within Tolerance,GBP,Exception,No
MTC-10388,4569989388,SI-0001123,297565,299332,1767,Minor Variance,GBP,Partial Match,No
MTC-10389,4554863973,2024/40976,28945,35234,6289,Significant Variance,EUR,Exception,No
MTC-10390,4516893290,2024/23903,366402,371515,5113,Significant Variance,GBP,Exception,No
MTC-10391,4518907521,INV2023001136,252594,254845,2251,Minor Variance,EUR,Partial Match,No
MTC-10392,4584108985,SI-0001049,163748,167341,3593,Minor Variance,USD,Partial Match,No
MTC-10393,4591151405,N4L-2024-01134,306716,298904,-7812,Within Tolerance,GBP,Exception,No
MTC-10394,4517053378,N4L-2023-01149,439883,447277,7394,Significant Variance,GBP,Exception,No
MTC-10395,4576658519,2024/48045,222093,215140,-6953,Within Tolerance,USD,Exception,No
MTC-10396,4533024059,P001063-2024,242827,247791,4964,Minor Variance,EUR,Partial Match,No
MTC-10397,4595771152,CHX00001086,423979,430499,6520,Significant Variance,EUR,Partial Match,No
MTC-10398,4515101477,2023/35093,17563,22156,4593,Minor Variance,EUR,Pending Review,No
MTC-10399,4580514951,SI-0001093,479164,473816,-5348,Within Tolerance,GBP,Exception,No
MTC-10400,4586213372,2023/55496,145370,141231,-4139,Within Tolerance,GBP,Partial Match,No
MTC-10401,4554936997,2023/94446,60478,58911,-1567,Within Tolerance,GBP,Partial Match,No
MTC-10402,4560612668,IUK-2024-01115,183247,178071,-5176,Within Tolerance,GBP,Exception,No
MTC-10403,4548612579,2024-BIF-1091,378544,372854,-5690,Within Tolerance,GBP,Partial Match,No
MTC-10404,4592730859,P001019-2024,263034,1837339,1574305,Major Variance,GBP,Unmatched,No
MTC-10405,4511449694,SI-0001168,450386,452859,2473,Minor Variance,GBP,Pending Review,No
MTC-10406,4550549460,SI-0001018,402561,395448,-7113,Within Tolerance,EUR,Partial Match,No
MTC-10407,4598236168,P001151-2024,262596,259589,-3007,Within Tolerance,EUR,Partial Match,No
MTC-10408,4558751739,KNX-2024-01074,282272,45728,-236544,Within Tolerance,GBP,Unmatched,No
MTC-10409,4549779020,P001010-2024,326050,321381,-4669,Within Tolerance,GBP,Partial Match,No
MTC-10410,4511424393,INV2024001171,402487,396280,-6207,Within Tolerance,GBP,Pending Review,No
MTC-10411,4513812138,SI-0001061,423481,429904,6423,Significant Variance,GBP,Pending Review,No
MTC-10412,4559305311,ENH-2024-01154,260566,256461,-4105,Within Tolerance,EUR,Pending Review,No
MTC-10413,4575464991,SI-0001031,336490,335762,-728,Within Tolerance,GBP,Tolerance Match,Yes
MTC-10414,4514924325,INV2023001102,145967,147241,1274,Minor Variance,GBP,Pending Review,Yes
MTC-10415,4586438542,INV2023001153,54056,53620,-436,Within Tolerance,GBP,2-Way Match,Yes
MTC-10416,4537774661,2024/25581,342562,346213,3651,Minor Variance,GBP,Partial Match,No
MTC-10417,4575455497,P001103-2023,179535,482011,302476,Major Variance,GBP,Unmatched,No
MTC-10418,4544666429,PHX/2023/1058,435666,171956,-263710,Within Tolerance,EUR,Unmatched,No
MTC-10419,4556055382,CWG00001011,202872,202923,51,Within Tolerance,GBP,Matched,No
MTC-10420,4573011095,KON/2023/1143,57224,58426,1202,Minor Variance,EUR,Partial Match,Yes
MTC-10421,4596978045,2023-DAL-1172,9772,9379,-393,Within Tolerance,GBP,2-Way Match,Yes
MTC-10422,4550700353,INV2023001074,482622,479193,-3429,Within Tolerance,USD,Exception,No
MTC-10423,4578806340,KON00001153,240602,212186,-28416,Within Tolerance,EUR,Unmatched,No
MTC-10424,4522493209,INV2023001078,148180,142346,-5834,Within Tolerance,USD,Pending Review,No
MTC-10425,4595511809,CIV/2023/1070,239037,235214,-3823,Within Tolerance,GBP,Partial Match,No
MTC-10426,4595219410,HAY-2023-01073,102327,108067,5740,Significant Variance,GBP,Partial Match,No
MTC-10427,4578426503,NGB/2024/1116,62204,57674,-4530,Within Tolerance,GBP,Pending Review,No
MTC-10428,4590443585,2024-TTN-1039,104432,106043,1611,Minor Variance,GBP,Exception,No
MTC-10429,4586398574,P001077-2023,240328,235372,-4956,Within Tolerance,GBP,Partial Match,No
MTC-10430,4531940315,2023-CIV-1077,406110,2807308,2401198,Major Variance,GBP,Unmatched,No
MTC-10431,4510446073,SI-0001182,448300,453294,4994,Minor Variance,GBP,Partial Match,No
MTC-10432,4529847717,CIR00001054,379368,382463,3095,Minor Variance,USD,Partial Match,No
MTC-10433,4585038888,2023-ASC-1065,116287,111377,-4910,Within Tolerance,GBP,Pending Review,No
MTC-10434,4566566316,P001048-2024,47065,47802,737,Minor Variance,GBP,3-Way Match,Yes
MTC-10435,4535093469,2023-MSL-1123,423858,428123,4265,Minor Variance,USD,Partial Match,No
MTC-10436,4548521334,PFM00001076,459071,462958,-922029,Within Tolerance,GBP,Unmatched,No
MTC-10437,4526960158,SI-0001084,297221,292267,-4954,Within Tolerance,GBP,Exception,No
MTC-10438,4522573825,TML00001178,75659,83224,7565,Significant Variance,GBP,Pending Review,No
MTC-10439,4550549460,2024/82719,402561,407851,5290,Significant Variance,EUR,Partial Match,No
MTC-10440,4586826109,2024/86858,315620,323423,7803,Significant Variance,GBP,Exception,No
MTC-10441,4549863203,2024/35077,439004,440414,1410,Minor Variance,USD,Partial Match,Yes
MTC-10442,4589710708,INV2024001082,346467,346577,110,Within Tolerance,USD,3-Way Match,No
MTC-10443,4533105548,2023/25316,211907,219090,7183,Significant Variance,USD,Matched,No
MTC-10444,4530790855,2024/63284,257220,255774,-1446,Within Tolerance,GBP,Partial Match,Yes
MTC-10445,4564367814,KNX/2023/1089,488968,483691,-5277,Within Tolerance,GBP,Exception,No
MTC-10446,4582903416,2023-ERL-1120,393178,394137,959,Minor Variance,GBP,Partial Match,Yes
MTC-10447,4528200100,P001106-2023,478545,245618,-232927,Within Tolerance,GBP,Unmatched,No
MTC-10448,4519746781,IUK/2024/1129,298806,302953,4147,Minor Variance,GBP,Partial Match,No
MTC-10449,4552915831,SI-0001085,19252,23722,4470,Minor Variance,GBP,Partial Match,No
MTC-10450,4518743955,FST/2023/1047,430954,435817,4863,Minor Variance,EUR,Exception,No
MTC-10451,4571755797,INV2024001105,374763,371592,-3171,Within Tolerance,USD,Exception,No
MTC-10452,4572000995,SI-0001113,243146,236641,-6505,Within Tolerance,GBP,Partial Match,No
MTC-10453,4578022221,INV2023001159,14089,20852,6763,Significant Variance,EUR,Pending Review,No
MTC-10454,4564942244,INV2024001125,373996,370808,-3188,Within Tolerance,GBP,Pending Review,No
MTC-10455,4557822552,PTL/2024/1085,400644,404744,4100,Minor Variance,USD,Partial Match,No
MTC-10456,4538516658,CMT-2024-01084,133785,140999,7214,Significant Variance,USD,Partial Match,No
MTC-10457,4549702930,P001080-2024,78775,86298,7523,Significant Variance,GBP,Partial Match,No
MTC-10458,4536205501,INV2024001110,215354,210563,-4791,Within Tolerance,GBP,Pending Review,No
MTC-10459,4518907521,2024-GWI-1143,252594,246579,-6015,Within Tolerance,GBP,Partial Match,No
MTC-10460,4570244441,P001050-2023,336044,331972,-4072,Within Tolerance,GBP,Partial Match,No
MTC-10461,4581317004,2024-KON-1155,480454,375382,-105072,Within Tolerance,EUR,Unmatched,No
MTC-10462,4562271773,P001067-2023,338757,339738,981,Minor Variance,USD,Partial Match,Yes
MTC-10463,4534888404,2023-PHX-1061,53253,53301,48,Within Tolerance,EUR,2-Way Match,No
MTC-10464,4533105548,SI-0001106,211907,206453,-5454,Within Tolerance,USD,Partial Match,No
MTC-10465,4529847717,CIR00001070,379368,383352,3984,Minor Variance,USD,Exception,No
MTC-10466,4592477969,SI-0001187,141490,137258,-4232,Within Tolerance,GBP,Unmatched,No
MTC-10467,4514099095,IUK00001139,191976,186993,-4983,Within Tolerance,GBP,Exception,No
MTC-10468,4545923997,P001075-2024,460017,460360,343,Within Tolerance,USD,Tolerance Match,Yes
MTC-10469,4518378797,INV2023001041,216369,1543836,1327467,Major Variance,GBP,Exception,No
MTC-10470,4583041304,P001097-2023,413049,134778,-278271,Within Tolerance,GBP,Unmatched,No
MTC-10471,4519746781,P001149-2024,298806,295117,-3689,Within Tolerance,GBP,Pending Review,No
MTC-10472,4559305311,INV2023001160,260566,261086,520,Minor Variance,EUR,3-Way Match,Yes
MTC-10473,4528200100,INV2023001164,478545,478662,117,Within Tolerance,GBP,Matched,No
MTC-10474,4535093469,MSL/2023/1134,423858,427239,3381,Minor Variance,USD,Exception,No
MTC-10475,4592477969,2023-DAL-1202,141490,144043,2553,Minor Variance,GBP,Exception,No
MTC-10476,4590642050,2023/35040,413353,415628,2275,Minor Variance,GBP,Exception,No
MTC-10477,4545923997,SI-0001088,460017,455226,-4791,Within Tolerance,USD,2-Way Match,No
MTC-10478,4576509626,PLF00001191,237485,233467,-4018,Within Tolerance,GBP,Partial Match,No
MTC-10479,4510446073,PLF/2024/1203,448300,454018,5718,Significant Variance,GBP,Pending Review,No
MTC-10480,4558151831,PTL00001096,309892,302319,-7573,Within Tolerance,USD,Exception,No
MTC-10481,4558151831,INV2023001104,309892,307246,-2646,Within Tolerance,USD,Exception,No
MTC-10482,4573772263,DAL-2023-01211,45518,46518,-92036,Within Tolerance,GBP,Unmatched,No
MTC-10483,4555248603,INV2024001065,231368,235874,4506,Minor Variance,EUR,Exception,No
MTC-10484,4593547481,2024/39146,492559,487829,-4730,Within Tolerance,GBP,Pending Review,No
MTC-10485,4593141359,P001075-2024,106713,104152,-2561,Within Tolerance,USD,Matched,No
MTC-10486,4519088643,CIV-2023-01091,212395,347134,134739,Major Variance,GBP,Unmatched,No
MTC-10487,4580118649,2023/51995,211686,215216,3530,Minor Variance,GBP,Partial Match,No
MTC-10488,4575992324,P001066-2023,411994,412750,756,Minor Variance,GBP,Pending Review,Yes
MTC-10489,4592951734,2023-IUK-1172,338230,334117,-4113,Within Tolerance,GBP,Pending Review,No
MTC-10490,4585038888,SI-0001077,116287,116125,-162,Within Tolerance,GBP,Tolerance Match,No
MTC-10491,4557312063,2024-ENH-1172,199380,199159,-221,Within Tolerance,EUR,2-Way Match,Yes
MTC-10492,4527415243,KAI00001026,114134,107772,-6362,Within Tolerance,GBP,Pending Review,No
MTC-10493,4515400671,PHX-2023-01065,15740,12969,-2771,Within Tolerance,EUR,Partial Match,No
MTC-10494,4580118649,GWI-2023-01024,211686,216404,4718,Minor Variance,GBP,Partial Match,No
MTC-10495,4597735770,SI-0001075,273940,277672,3732,Minor Variance,GBP,Exception,No
MTC-10496,4523034714,P001009-2023,119192,119186,-6,Within Tolerance,GBP,3-Way Match,No
MTC-10497,4527566835,2023/55048,447817,450206,2389,Minor Variance,GBP,Partial Match,No
MTC-10498,4572721657,INV2024001078,374610,381043,6433,Significant Variance,GBP,Partial Match,No
MTC-10499,4522493209,INV2024001021,148180,148207,27,Within Tolerance,USD,3-Way Match,No
MTC-10500,4527715082,2024/83592,363080,363017,-63,Within Tolerance,USD,Tolerance Match,No
